altura1,peso1,altura2,peso2,classe
1.7517468354147845,70.79509017053303,1.7517468354147845,70.79509017053303,0.0
1.7517468354147845,70.79509017053303,2.043700221787953,89.9945672820121,-1.0
1.7517468354147845,70.79509017053303,1.6498957764629671,55.91222414975077,-1.0
1.7517468354147845,70.79509017053303,1.5815767089420503,88.86909569318136,1.0
1.7517468354147845,70.79509017053303,2.015067035937296,51.639260679605385,-1.0
1.7517468354147845,70.79509017053303,1.5948831025231067,98.839524959142,1.0
1.7517468354147845,70.79509017053303,2.049782858398768,79.40168048475351,-1.0
1.7517468354147845,70.79509017053303,1.6385984257815256,81.18048356327367,1.0
1.7517468354147845,70.79509017053303,1.8149995833113464,85.83488464641638,1.0
1.7517468354147845,70.79509017053303,2.0112117685678355,70.264157562116,-1.0
1.7517468354147845,70.79509017053303,2.0758815751452655,67.07077480821735,-1.0
1.7517468354147845,70.79509017053303,2.099853780362232,61.891833895136,-1.0
1.7517468354147845,70.79509017053303,1.7944004241865605,79.98639810012425,1.0
1.7517468354147845,70.79509017053303,1.7523325592953158,93.25378928967075,1.0
1.7517468354147845,70.79509017053303,1.6390610652597102,69.2666245301517,1.0
1.7517468354147845,70.79509017053303,1.6035177414600743,72.3505083015473,1.0
1.7517468354147845,70.79509017053303,1.5428531738090925,94.90905215879492,1.0
1.7517468354147845,70.79509017053303,1.6771061234957818,54.12479697953099,-1.0
1.7517468354147845,70.79509017053303,2.0189181881475955,57.85788047715095,-1.0
1.7517468354147845,70.79509017053303,1.6653207358848976,77.01047799622576,1.0
1.7517468354147845,70.79509017053303,1.5731037979788682,96.54502136309947,1.0
1.7517468354147845,70.79509017053303,1.5369913657227758,81.21854936972679,1.0
1.7517468354147845,70.79509017053303,1.5697414757052788,82.75466501540922,1.0
1.7517468354147845,70.79509017053303,2.0341041368596118,64.37260958121075,-1.0
1.7517468354147845,70.79509017053303,1.9013761960577973,70.83877751570532,-1.0
1.7517468354147845,70.79509017053303,1.5851255641445592,70.26295370166258,1.0
1.7517468354147845,70.79509017053303,1.5600394746274424,99.1308245436719,1.0
1.7517468354147845,70.79509017053303,1.593423405003643,59.293714184361995,1.0
1.7517468354147845,70.79509017053303,1.5670093711346365,54.99111165884933,-1.0
1.7517468354147845,70.79509017053303,2.0093921779103434,52.0677357491707,-1.0
1.7517468354147845,70.79509017053303,1.6960291749283865,67.89808504005047,1.0
1.7517468354147845,70.79509017053303,1.9086735970405464,88.02842255695256,1.0
1.7517468354147845,70.79509017053303,1.6190273794022927,58.360818845792416,-1.0
1.7517468354147845,70.79509017053303,1.9095822919620322,58.38557880730773,-1.0
1.7517468354147845,70.79509017053303,1.765877878847473,94.2092216908872,1.0
1.7517468354147845,70.79509017053303,1.9065998951207952,78.97487299111114,-1.0
1.7517468354147845,70.79509017053303,1.9527967861494804,73.5449474909115,-1.0
1.7517468354147845,70.79509017053303,1.5048212091105957,78.74314990298367,1.0
1.7517468354147845,70.79509017053303,2.0283833612178412,91.45096147779569,-1.0
1.7517468354147845,70.79509017053303,1.6847121727087362,82.66123957477394,1.0
1.7517468354147845,70.79509017053303,2.0832395129273804,57.973675954609845,-1.0
1.7517468354147845,70.79509017053303,1.9743110642488362,97.65208981020098,1.0
1.7517468354147845,70.79509017053303,1.8783234256372945,63.588299783983665,-1.0
1.7517468354147845,70.79509017053303,1.9867420323167158,51.7153840160402,-1.0
1.7517468354147845,70.79509017053303,2.0312284469862734,88.97878359316687,-1.0
1.7517468354147845,70.79509017053303,1.8080140825934206,73.98087286293872,-1.0
1.7517468354147845,70.79509017053303,1.592944487947919,78.72428875399612,1.0
1.7517468354147845,70.79509017053303,2.0190681504055656,98.69733994291087,1.0
